Snake,Genus,Species,Family,Country,Reference,SVMPi,DC-fragment,CRISP,PLB,Crotoxin,SP,KuTi,KLK,LAAO,VEGF,CVF,Cytotoxin,Myotoxin,Ohanin,Crotamine,Vespryn,HYA,NGF,PDE,ACHE,NT5,EN,QC,ECTONT,SVMP,Disintegrin,Lectins,3FTx,PLA2,VAP,Unknown
Bitis rhinoceros,Bitis,rhinoceros,Viperidae,Unknown,https://www.ncbi.nlm.nih.gov/pubmed/17559253,0,0.6,1.2,0,0,23.9,7.5,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,8.5,14.1,0,4.8,0.3,6.1000000000000085
Bothriechis aurifer,Bothriechis,aurifer,Viperidae,Guatemala,https://www.ncbi.nlm.nih.gov/pubmed/27777178,3.2,0.2,10.69,0.7,0,7.29,0,0,9.49,0,0,0,0,0,0,0,0,0,1.2,0,0.4,0,0,0,35.07,1.2,16.38,0,0,13.39,0.789999999999992
Bothriechis bicolor,Bothriechis,bicolor,Viperidae,Guatemala,https://www.ncbi.nlm.nih.gov/pubmed/27777178,4.46,6.6,0.97,0.1,0,18.53,0,0,10.48,1.07,0,0,0,0,0,0,0,1.45,2.62,0,1.94,0,0.87,0,8.24,0.78,4.27,0,34.14,3.49,-0.009999999999990905
Bothriechis lateralis,Bothriechis,lateralis,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/18444672,0,0,6.49,0,0,11.28,0,0,6.09,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.99,0,0.9,0,8.68,11.08,-0.010000000000005116
Bothriechis lateralis,Bothriechis,lateralis,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/27777178,6.16,5.02,0,0,0,21.69,0,0,6.44,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.47,3.6,0,0,14.49,10.32,10.680000000000007
Bothriechis marchi,Bothriechis,marchi,Viperidae,Honduras,https://www.ncbi.nlm.nih.gov/pubmed/27777178,8.5,4.8,2.8,0,0,10.1,0,0,1.1,0.9,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,35.1,1.7,4.2,0,14.3,10.6,3.799999999999997
Bothriechis nigroviridis,Bothriechis,nigroviridis,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/20590130,0,0,2.1,0,0,18.4,0,0,0.5,2.8,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,38.3,37,0.4000000000000057
Bothriechis schlegelii,Bothriechis,schlegelii,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/18444672,0,0,2.1,0,0,5.8,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,43.8,13.4,8.299999999999997
Bothriechis schlegelii,Bothriechis,schlegelii,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/27777178,6.9,0,11.3,0.8,0,20.6,6.3,0,3.4,2.8,0,0,0,0,0,0,0,0.01,0.03,0,0,0,0.7,0,8.1,0.1,0,0,17.3,15.9,5.759999999999991
Bothriechis supraciliaris,Bothriechis,supraciliaris,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/22333435,0,0,4.3,0,0,15.2,0,0,5.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,1.6,0,0,13.4,35.099999999999994,16.30000000000001
Bothriechis thalassinus,Bothriechis,thalassinus,Viperidae,Guatemala,https://www.ncbi.nlm.nih.gov/pubmed/27777178,9.9,0.8,5.1,0.4,0,12.1,0,0,4.3,1.9,0,0,0,0,0,0,0,0,0.8,0,0.3,0,0.9,0,39.6,1.2,11.5,0,0,10.6,0.6000000000000085
Bothrocophias campbelli,Bothrocophias,campbelli,Viperidae,Ecuador,https://www.ncbi.nlm.nih.gov/pubmed/25091349,0,0,0.9,0,0,21.3,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,15.8,0.3,6.4,0,43.1,0,5.900000000000006
Bothrops pauloensis,Bothrops,pauloensis,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/22480909,0,0,2.19,0,0,10.46,0,0,2.79,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,37.95,1.29,0.6,0,32.17,12.36,-0.010000000000005116
Bothrops alternatus,Bothrops,alternatus,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/20329766,0,0,0,0,0,24.1,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1,2.6,1.7,0,7.8,0,13.800000000000011
