Snake,Genus,Species,Family,Country,Reference,SVMPi,DC-fragment,CRISP,PLB,Crotoxin,SP,KuTi,KLK,LAAO,VEGF,CVF,Cytotoxin,Myotoxin,Ohanin,Crotamine,Vespryn,HYA,NGF,PDE,ACHE,NT5,EN,QC,ECTONT,SVMP,Disintegrin,Lectins,3FTx,PLA2,VAP,Unknown
Bothrops pirajai,Bothrops,pirajai,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/23385358,0,0,0,0,0,7.1,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,1.4,9.2,0,40.2,0,16.200000000000003
Bothrops punctatus,Bothrops,punctatus,Viperidae,Colombia,https://www.ncbi.nlm.nih.gov/pubmed/24498576,0,0,1.2,0,0,5.4,0,0,3.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,3.8,16.7,0,9.3,10.7,6.6000000000000085
Bungarus caeruleus,Bungarus,caeruleus,Elapidae,Sri Lanka,https://www.ncbi.nlm.nih.gov/pubmed/28476572,0,0,5.5,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0.1,0,1.6,0,0,0,0,1.3,0,0,19,64.5,0,3.5999999999999943
Bungarus candidus,Bungarus,candidus,Elapidae,Malaysia,https://www.ncbi.nlm.nih.gov/pubmed/25154052,0,0,3.9,1,0,3.9,12.59,0,5.79,0,0,0,0,0,0,1.9,1.9,1,0,4.9,0,1,0,0,4.9,0,0,30.07,25.17,1,0.980000000000004
Bungarus fasciatus,Bungarus,fasciatus,Elapidae,Malaysia,https://www.ncbi.nlm.nih.gov/pubmed/25154052,0,0,1.2,0,0,5.79,9.28,0,5.79,1.2,0,0,0,0,0,0,0,0,1.2,4.69,2.3,1.2,0,0,4.69,0,0,17.37,44.11,0,1.1800000000000068
Bungarus fasciatus,Bungarus,fasciatus,Elapidae,Vietnam,https://www.ncbi.nlm.nih.gov/pubmed/26341420,0,0,0.42,0.71,0,0,1.83,0,7.07,0.1,0,0,0,0,0,0,0,1.1,0,5.08,0,0,0,0,3.54,0,0,1.9300000000000002,66.83,0,11.39
Bungarus multicinctus,Bungarus,multicinctus,Elapidae,Vietnam,https://www.ncbi.nlm.nih.gov/pubmed/26341420,0,0,2.42,0.33,0,0.08,2.26,0,2.11,0.08,0,0,0,0,0,0.19,0.29,0.32,0,1.1,0,0,0,0,0.78,0,0,68.25,15.34,0.09,6.359999999999999
Calloselasma rhodostoma,Calloselasma,rhodostoma,Viperidae,Malaysia,https://www.ncbi.nlm.nih.gov/pubmed/27418434,0,0,0,0.9,0,14.9,0,0,7,0,0,0,0,0,0,0,0,0.6,0.2,0,0.3,0,0,0,41.2,0,26,0,0,0,8.899999999999991
Cerastes cerastes cerastes,Cerastes,cerastes,Viperidae,Tunisia,https://www.ncbi.nlm.nih.gov/pubmed/16206329,0,0,0,0,0,8.18,0,0,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.64,7.27,21.82,0,18.18,0,0
Cerastes cerastes cerastes,Cerastes,cerastes,Viperidae,Morocco,https://www.ncbi.nlm.nih.gov/pubmed/22387316,0,0,0.7,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.099999999999994,8.5,1.7,0,19.1,0,0
Cerastes cerastes cerastes,Cerastes,cerastes,Viperidae,Tunisia,https://www.ncbi.nlm.nih.gov/pubmed/22387316,0,0,0,0,0,13.2,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9,4.9,3.2,0,16.6,0,0
Cerastes vipera,Cerastes,vipera,Viperidae,Tunisia,https://www.ncbi.nlm.nih.gov/pubmed/16206329,0,0,0,0,0,20,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,1,0,21,0,0
Cerrophidion godmani,Cerrophidion,godmani,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/22212456,0,0,4.2,0,0,19.1,0,0,5,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,32.8,7.5,0.5,0,23.4,5.7,0.4999999999999858
Cerrophidion sasai,Cerrophidion,sasai,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/22212456,0,0,4.2,0,0,19.1,0,0,5,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,32.8,7.5,0.5,0,23.4,5.7,0.4999999999999858
Crotalus adamanteus,Crotalus,adamanteus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24231107,0,0,2.8,0,0,25,0,0,0.2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,28,0,0
Crotalus atrox,Crotalus,atrox,Viperidae,Unknown,https://www.ncbi.nlm.nih.gov/pubmed/19371136,0,0,4.24,0,0,19.55,0,0,7.9,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,49.06,6.12,1.68,0,7.21,2.97,0.0799999999999983
Crotalus basiliscus,Crotalus,basiliscus,Viperidae,Mexico,https://www.ncbi.nlm.nih.gov/pubmed/28238904,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,14,2,1
Crotalus durissus cascavella,Crotalus,durissus,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/20542151,0,0,0.9,0,72.5,1.2,0,0,0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0,18.1,0,5.700000000000017
Crotalus durissus collilineatus,Crotalus,durissus,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/20542151,0,0,1.58,0,78.81,0.5,0,0,2.57,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0.4,0.1,0,11.19,0,1.4210854715202004e-14
Crotalus durissus collilineatus,Crotalus,durissus,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/20542151,0,0,1.8,0,67.33,1.9,0,0,0.5,2.1,0,0,0,0,20.78,0,0,0,0,0,0,0,0,0,0.4,0.5,0.1,0,4.6,0,-0.009999999999990905
Crotalus durissus cumanensis,Crotalus,durissus,Viperidae,Venezuela,https://www.ncbi.nlm.nih.gov/pubmed/19863078,0,0,0,0,2.6,1.9,0,0,2.7,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,64.8,7.9,2.5,0,3.4,1.1,0
Crotalus durissus durissus,Crotalus,durissus,Viperidae,Guyana,https://www.ncbi.nlm.nih.gov/pubmed/19863078,0,0,0,0,67.86,5.09,0,0,3.59,0,0,0,0,0,17.96,0,0,0,0,0,0,0,0,0,2.4,0,0.2,0,2,0.9,-1.4210854715202004e-14
Crotalus durissus ruruima,Crotalus,durissus,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/19863078,0,0,0,0,82.62,8.09,0,0,0.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,2.9,0,4.3,0,0,0.1,-0.010000000000005116
Crotalus durissus terrificus,Crotalus,durissus,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/19863078,0,0,0,0,59.5,8.2,0,0,4.5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4.8,0,1.7,0,0,2.3,0
Crotalus durissus terrificus,Crotalus,durissus,Viperidae,Unknown,https://www.ncbi.nlm.nih.gov/pubmed/20205475,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,0,0,1.9,1.9,0,7.8,0,1,0,3.9,0,0,0,48.5,0,9.700000000000003
Crotalus oreganus helleri,Crotalus,oreganus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24463169,23.67,0,15.39,0,0,0,0,10.05,4.15,0,0,0,0,0,25.3,0,0,0.73,0,0,0,0,0,0,0,0,9.17,0,3.86,7.69,-0.010000000000005116
Crotalus oreganus helleri,Crotalus,oreganus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24463169,26.34,0,2.98,0,0,0,0,22.16,5.26,1.67,0,0,0,0,28.77,0,0,0,0,0,0,0,0,0,0,0.78,0,0,2.52,9.53,-0.010000000000005116
Crotalus oreganus helleri,Crotalus,oreganus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24463169,0.3,0,0,0,0,0,0,21.26,5.48,0,0,0,0,0,40.64,0,0,0,0,0,0,0,0,0,0,1.7,0,0,29.53,1.08,0.009999999999990905
Crotalus oreganus helleri,Crotalus,oreganus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24463169,51.01,0,1.45,0,0,0,0,16.31,7.99,0,0,0,0,0,7.23,0,0,0,0,0,0,0,0,0,0,3.08,1.5,0,5.05,6.36,0.020000000000010232
Crotalus oreganus helleri,Crotalus,oreganus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24463169,16.91,0,3.85,0,0,0,0,20.2,4.52,0.92,0,0,0,0,40.17,0,0,0,0,0,0,0,0,0,0,1.35,0,0,3.47,8.58,0.030000000000001137
Crotalus oreganus helleri,Crotalus,oreganus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24463169,0.1,0,0,0,0,0,0,11.86,2.89,0,0,0,0,0,51.39,0,0,0,0,0,0,0,0,0,0,2.58,0,0,27.54,3.54,0.10000000000000853
Crotalus oreganus helleri,Crotalus,oreganus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24463169,0,0,0,0,0,0,0,16.25,3.8,0,0,0,0,0,60.99,0,0,0,0,0,0,0,0,0,0,0.15,0,0,16.95,1.66,0.19999999999998863
Crotalus oreganus helleri,Crotalus,oreganus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24463169,18.2,0,4.68,0,0,0,0,25.26,8.7,0,0,0,0,0,31.58,0,0,0,0,0,0,0,0,0,0,1.17,0.85,0,3.32,5.89,0.3500000000000085
Crotalus oreganus helleri,Crotalus,oreganus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24463169,33.36,0,2.39,0,0,0,0,18.51,7.52,0,0,0,0,0,23.48,0,0,0,0,0,0,0,0,0,0,1.26,0,0,2.94,9.63,0.9099999999999966
Crotalus oreganus helleri,Crotalus,oreganus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24463169,14.88,0,18.49,0,0,0,0,13.95,7.11,0,0,0,0,0,22.84,0,0,0.15,0,0,0,0,0,0,0,0,9.5,0,2.73,9.22,1.1299999999999955
Crotalus oreganus helleri,Crotalus,oreganus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24463169,29.09,0,13.87,0,0,0,0,9.23,0,0,0,0,0,0,16.69,0,0,0.44,0,0,0,0,0,0,0,0,15.01,0,5.43,8.9,1.3400000000000034
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,24.5,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.67,0,0.1,0,11.06,5.08,0.4899999999999949
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,36.13,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,46.91,10.48,3.89,2.3899999999999864
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0.1,0,0,41.52,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,45.21,6.89,3.19,2.8900000000000006
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,37.52,0,0,0.1,0,0,0,29.54,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,17.66,8.88,2.89,3.3100000000000165
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,28.84,0,0,1.3,0,0,0,34.03,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,17.27,12.77,3.39,2.3000000000000114
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0.3,0,0,28.07,0,0,1.2,0,0,0,24.38,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,27.67,10.29,5.09,2.9000000000000057
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,32.07,0,0,0.8,0,0,0,19.18,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,35.66,7.59,1.7,2.8999999999999915
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0.1,0,0,29.77,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,53.25,8.89,4.4,2.1899999999999835
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,21.88,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.14,0,0.2,0,12.09,5.29,0.09999999999999432
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,30.87,0,0,1.4,0,0,0,12.49,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,39.66,10.79,1.9,2.789999999999992
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0.3,0,0,30.1,0,0,0.7,0,0,0,23.9,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,27.6,10.8,2.2,3.299999999999997
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,23.8,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.6,0,0.2,0,15.2,4.8,0.20000000000000284
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,22.2,0,0,2.1,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,48.2,0,0.2,0,14.3,5.7,1.7999999999999972
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0.1,0,0,18.9,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.699999999999996,0,0.1,7.6,13.6,4.7,0.8000000000000256
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,19.3,0,0,1.5,0,0,0,18.1,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,34.2,17.6,3.8,2.1000000000000085
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0.3,0,0,40.2,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,35.9,15.6,4.6,2.6000000000000085
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0.2,0,0,33.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,51.4,8.7,3.8,2.1999999999999886
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0.1,0,0,41.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,43.9,7.6,3.9,2.799999999999997
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,9.6,0,0,1.2,0,0,0,26.2,0,0,0,0,0,0,0,0,0,0,0,19.4,0,0,21.2,16.5,4.1,1.8000000000000114
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0.1,0,0,41.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,44.1,7.4,3.5,3.5999999999999943
Crotalus scutulatus scutulatus,Crotalus,scutulatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/22446891,0,0,0,0,0,23.9,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.6,0,0.1,0,13.8,4.6,1.90000000000002
Crotalus simus,Crotalus,simus,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/19863078,0,0,0,0,52.7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.1,0,0,3.2,4,0
Crotalus simus,Crotalus,simus,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/19863078,0,0,0,0,4.1,5.3,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.7,8.1,0,0,3.5,3.5,0
Crotalus simus culminatus,Crotalus,simus,Viperidae,Mexico,https://www.ncbi.nlm.nih.gov/pubmed/23727490,0,0,3.5,0,0,15.9,0,0,4.7,0,0,0,0,0,3.3,0,0,1,0,0,0,0,0,0,48.5,3.8,0.8,0,3.4,11.6,3.5
Crotalus simus culminatus,Crotalus,simus,Viperidae,Mexico,https://www.ncbi.nlm.nih.gov/pubmed/28731347,7.89,0,5.59,0,0,16.48,0,0,11.59,0,0,0,0,0,5.99,0,0,0,0,0,0.1,0,0,0,45.85,2.7,0,0,3.8,0,0.009999999999990905
Crotalus simus culminatus,Crotalus,simus,Viperidae,Mexico,https://www.ncbi.nlm.nih.gov/pubmed/28731347,6.58,0,3.69,0,0,13.06,0,0,8.87,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,41.480000000000004,1.69,0.1,0,13.46,0,0
Crotalus simus simus,Crotalus,simus,Viperidae,Mexico,https://www.ncbi.nlm.nih.gov/pubmed/23727490,0,0,1,0,14.3,30.4,0,0,5.7,0,0,0,0,0,0,0,0,1.1,0.5,0,0,0,0,0,27.4,1.5,0.6,0,8.1,6.5,2.9000000000000057
Crotalus simus simus,Crotalus,simus,Viperidae,Mexico,https://www.ncbi.nlm.nih.gov/pubmed/28731347,6.6,0,3.9,0,16.8,23.7,0,0,3.5,1,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,31.8,4.3,0.1,0,3.9,2.1,1.2000000000000028
Crotalus simus simus,Crotalus,simus,Viperidae,Mexico,https://www.ncbi.nlm.nih.gov/pubmed/28731347,1.68,0,10.96,0,25.86,32.28,0,0,1.97,3.55,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,5.23,0,0,0,9.97,6.71,0.010000000000005116
Crotalus simus tzabcan,Crotalus,simus,Viperidae,Mexico,https://www.ncbi.nlm.nih.gov/pubmed/28731347,6.3,0,0,0,3,15.4,0,0,1.95,0,0,0,0,0,18.5,0,0,0,0.6,0,0,0,0.3,0,31.8,5.1,10.4,0,2.6,2.6,1.4500000000000028
Crotalus simus tzabcan,Crotalus,simus,Viperidae,Mexico,https://www.ncbi.nlm.nih.gov/pubmed/28731347,2.31,0,0,0,0.18,18.31,0,0,4.25,0.18,0,0,0,0,35.05,0,0,0.74,8.88,0,0.13,0,0,0,6.66,0,4.9,0,13.5,4.9,0.010000000000005116
Crotalus tigris,Crotalus,tigris,Viperidae,Unknown,https://www.ncbi.nlm.nih.gov/pubmed/22181673,0,0,1.9,0,0,26.75,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,66.07,0,0,-0.009999999999990905
Crotalus viridis viridis,Crotalus,viridis,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/25819372,8.18,0,4.65,0.11,0,19.88,0,0,11.46,0,0,0,5.49,0.21,0,0,0,0,0,0,0,0,0.11,0,20.97,0.7,1.81,0,15.67,10.78,-0.020000000000010232
Crotalus viridis viridis,Crotalus,viridis,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/25819372,0.1,0,2.12,0.12,0,26.72,0,0,2.84,0,0,0,35.45,0.62,0,0,0,0,0,0,0,0,0.26,0,11.33,0.14,3.32,0,10.520000000000001,6.46,1.4210854715202004e-14
Crotalus viridis viridis,Crotalus,viridis,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/25819372,4.51,0,4.01,0.19,0,18.2,0,0,7.56,0,0,0,25.16,0,0,0,0,0,0,0,0,0,0.83,0,14.2,0.76,7.27,0,10.9,6.41,0
Crotalus viridis viridis,Crotalus,viridis,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/25819372,0,0,3.88,0,0,26.82,0,0,0,0,0,0,38.07,0.52,0,0,0,0,0,0,0,0,0.12,0,10.92,0.13,1.75,0,7.69,8.23,1.8700000000000045
Daboia russelii,Daboia,russelii,Viperidae,Sri Lanka,https://www.ncbi.nlm.nih.gov/pubmed/26342672,0,0,2,0.1,0,16,4.6,0,5.2,0,0,0,0,0,0,0,0,3.5,1.3,0,3,0,0,0,6.9,0,22.4,0,35,0,0
Daboia russelii,Daboia,russelii,Viperidae,India,https://www.ncbi.nlm.nih.gov/pubmed/27936776,0,0,6.79,0.1,0,7.99,12.49,0,0.3,1.8,0,0,0,0,0,0,0,4.8,1.4,0,0.4,0,0,0,24.78,4.9,1.8,0,32.47,0,-0.01999999999999602
Daboia russelii russelii,Daboia,russelii,Viperidae,Pakistan,https://www.ncbi.nlm.nih.gov/pubmed/27265321,0,0,2.6,0,0,3.2,28.4,0,0.6,1.5,0,0,0,0,0,0,0.2,0.4,0.6,0,0.6,0,0,0,21.8,0.4,6.4,0,32.8,0,0.5
Dendroaspis angusticeps,Dendroaspis,angusticeps,Elapidae,Tanzania,https://www.ncbi.nlm.nih.gov/pubmed/26877184,0,0,2,0,0,0,16.3,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0,0,0.1,0,0,6.7,0,0.5,69.2,0,0,4.799999999999997
Dendroaspis polylepis,Dendroaspis,polylepis,Elapidae,Kenya,https://www.ncbi.nlm.nih.gov/pubmed/25688917,0,0,0,0,0,0,61.1,0,0,0.1,0,0,0,0,0,0,0.5,0.3,0.1,0,0,0.3,0,0,3.2,0,0,31,0.1,2.9,0.4000000000000057
Drysdalia coronoides,Drysdalia,coronoides,Elapidae,Adult,https://www.ncbi.nlm.nih.gov/pubmed/26169672,0,0,2.8,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4,0,0,1.5999999999999943
Echis ocellatus,Echis,ocellatus,Viperidae,Nigeria,https://www.ncbi.nlm.nih.gov/pubmed/19026773,0.47,1.58,1.4,0,0,1.86,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.47,12.66,6.52,0,11.73,0,0.010000000000005116
Gloydius brevicaudus,Gloydius,brevicaudus,Viperidae,China,https://www.ncbi.nlm.nih.gov/pubmed/24487038,0,0,1.1,0,0,3.7,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,64.4,4.6,0.2,0,25,0,0
Gloydius brevicaudus,Gloydius,brevicaudus,Viperidae,Neonate,https://www.ncbi.nlm.nih.gov/pubmed/24487038,0,0,2.5,0,0,4.5,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.7,7.4,4.8,0,13.4,0,-1.4210854715202004e-14
Hydrophis cyanocinctus,Hydrophis,cyanocinctus,Elapidae,Iran,https://www.ncbi.nlm.nih.gov/pubmed/22643073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.1,18.9,0,0
Hydrophis platurus,Hydrophis,platurus,Elapidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/24704853,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.9,0,0,49.9,32.9,0,6.400000000000006
Hydrophis schistosus,Hydrophis,schistosus,Elapidae,Malaysia,https://www.ncbi.nlm.nih.gov/pubmed/26047715,0,0,1.3,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,70.5,27.5,0,0
Lachesis acrochorda,Lachesis,acrochorda,Viperidae,Colombia,https://www.ncbi.nlm.nih.gov/pubmed/22982523,0,0,0.9,0,0,35.06,0,0,9.59,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.17,0,6.89,0,2.3,21.48,0.010000000000005116
Lachesis melanocephala,Lachesis,melanocephala,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/22982523,0,0,0,0,0,21,0,0,3.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,7.5,0,13.4,30.2,4.8999999999999915
Lachesis muta muta,Lachesis,muta,Viperidae,Bolivia,https://www.ncbi.nlm.nih.gov/pubmed/18541473,0,0,1.8,0,0,31.2,0,0,2.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9,0,7.9,0,8.7,14.7,0.4999999999999858
Lachesis muta rhombeata,Lachesis,muta,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/23747394,0,0,1.4,0,0,26.5,0,0,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,0,2.7,0,10.8,28,0
Lachesis stenophrys,Lachesis,stenophrys,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/22982523,0,0,0,0,0,37,0,0,2.65,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,16.49,32.88,-0.009999999999990905
Lachesis stenophrys,Lachesis,stenophrys,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/22982523,0,0,0,0,0,21.2,0,0,2.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6,0,3.6,0,14.1,27.1,0.30000000000001137
Lachesis stenophrys,Lachesis,stenophrys,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/22982523,0,0,0,0,0,43.8,0,0,0.6,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,11.4,37.2,0.4000000000000057
Laticauda colubrina,Laticauda,colubrina,Elapidae,Indonesia,https://www.ncbi.nlm.nih.gov/pubmed/28688916,0,0,0.05,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.81,33.26,0,0.5699999999999932
Macrovipera lebetina,Macrovipera,lebetina,Viperidae,Tunisia,https://www.ncbi.nlm.nih.gov/pubmed/16206329,0,0.99,0,0,0,8.91,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.34,6.930000000000001,9.9,0,3.96,0.99,0
Macrovipera lebetina,Macrovipera,lebetina,Viperidae,Tunisia,https://www.ncbi.nlm.nih.gov/pubmed/22387317,0,0.9,0,0,0,5.5,3.1,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.1,15.1,3.2,0,5,0.8,0
Macrovipera lebetina obtusa,Macrovipera,lebetina,Viperidae,Armenia,https://www.ncbi.nlm.nih.gov/pubmed/18590992,0,1.67,2.56,0,0,14.67,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.59,11.129999999999999,14.57,0,14.37,7.779999999999999,-0.009999999999990905
