Snake,genus,species,Reference,Note,SVMPi (Snake Venom Metalloproteinase inhibitor),DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP),CRISP (cysteine-rich secretory protein),3Ftx (three-finger toxin),PLB (Phospholipase B),Cro-toxin,SP (Serine roteinase),KuTi (Kunitz-type nhibitor),KaTi (Kazal-type inhibitor),KLK (Kallikrein),LAAO (L-Amino Acid oxidase),VAP (VasoActive Peptides),BPP (Bradykinin-Potentiating Peptides),BIP (Bradykinin-Inhibitory Peptide),VEGF (Vascular Endothelial Growth Factor),NP (Natriuretic Peptide),Muscarinic-toxin,Cyto-toxin,Myo-toxin,Mojave-toxin,Ohanin,Cystatin,Crotamine,NGF (Nerve Growth Factor),PDE (PhosphoDiEsterases),ACHE (AcetylCHolineEsterase),NT5 (5NucleoTidase),QC (Glutaminyl Cyclase),beta-BTx (beta-bungarotoxin),ECTONT (ecto-59-nucleotidase),Unknown peptides,Unknown/Undetermined,SVMP,disintegrin,lectins,neurotoxins,PLA2
Agkistrodon piscivorus leucostoma,Agkistrodon,piscivorus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Texas,0,0,2,0,0,0,10.1,0,0,0,2.7,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,26.1,4.9,0.8,0,43.2
Agkistrodon piscivorus piscivorus,Agkistrodon,piscivorus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,USA,0,0,3.5,0,0,0,13.2,0,0,0,0.8,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,33.1,3.6,3.2,0,33.6
Aipysurus laevis,Aipysurus,laevis,https://www.ncbi.nlm.nih.gov/pubmed/26169672,Australia,0,0,2.5,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,71.2
Atropoides nummifer mexicanus,Atropoides,nummifer,https://www.ncbi.nlm.nih.gov/pubmed/18161938,Costa rica,0,0.1,1.89,0.1,0,0,21.91,0,0,0,9.06,0,8.57,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.13,2.49,1.29,0,36.35
Atropoides picadoi,Atropoides,picadoi,https://www.ncbi.nlm.nih.gov/pubmed/18161938,Costa rica,0,0.1,4.79,0,0,0,13.46,0,0,0,2.19,0,1.79,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.2,0.1,1.79,0,9.47
Austrelaps labialis,Austrelaps,labialis,https://www.ncbi.nlm.nih.gov/pubmed/18307759,Australia,0,0,8,45,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,33
Bitis arietans,Bitis,arietans,https://www.ncbi.nlm.nih.gov/pubmed/16786436,Ghana,0,0,0,0,0,0,19.48,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0.9,0,38.46,17.78,13.19,0,4.3
Bitis caudalis,Bitis,caudalis,https://www.ncbi.nlm.nih.gov/pubmed/17559253,Origin unknown,0,0,1.2,0,0,0,15.1,3.2,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,11.5,2.3,4.9,0,59.8
Bitis gabonica,Bitis,gabonica,https://www.ncbi.nlm.nih.gov/pubmed/17203976,Origin unknown,0,0.5,2,0,0,0,26.4,3,0,0,1.3,0,2.8,0,1,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,1.2,0,22.9,3.4,14.3,0,11.4
Bitis nasicornis,Bitis,nasicornis,https://www.ncbi.nlm.nih.gov/pubmed/17559253,Origin unknown,0,0.1,1.3,0,0,0,21.88,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0.7,0,40.86,3.5,4.2,0,20.08
