Snake,Reference,Note,"SVMP (Snake Venom Metalloproteinase), %","PI-SVMP (Snake Venom Metalloproteinase-PI), %","PII-SVMP (Snake Venom Metalloproteinase PII), %","PIII-SVMP (Snake Venom Metalloproteinase PIII), %","SVMPi (Snake Venom Metalloproteinase inhibitor), %","Disintegrin, %","Short disintegrin, %","Mediumdisintegrin, %","Largedisintegrin, %","Long disintegrin, %","Dimeric disintegrin, %","CTL (C-typelectin), %","DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP), %","CRISP (cysteine-rich secretory protein), %","3Ftx (three-finger toxin), %","?-NTx (?-NeuroToxin), %","NTx (NeuroToxin), %","SNTx (Short chain NeuroToxin), %","LNTx (Long chain NeuroToxin), %","WNTx (Weak Neurotoxin), %","PLB (Phospholipase B), %","PLA2 (Phospholipases A2), %","Acidic PLA2 (Phospholipases A2), %","Basic PLA2 (Phospholipases A2), %","K49-PLA2, %","D49-PLA2, %","Cro-toxin, %","SP (Serine roteinase), %","SPi (Serine Proteinase inhibitor), %","KuTi (Kunitz-type nhibitor), %","KaTi (Kazal-type inhibitor), %","KLK (Kallikrein), %","LAAO (L-Amino Acid oxidase), %","VAP (VasoActive Peptides), %","BPP (Bradykinin-Potentiating Peptides), %","BIP (Bradykinin-Inhibitory Peptide), %","VEGF (Vascular Endothelial Growth Factor), %","CVF (Cobra Venom Factor), %","NP (Natriuretic Peptide), %","Muscarinic-toxin, %","Cyto-toxin, %","Myo-toxin, %","Mojave-toxin, %","Sarafo-toxin, %","Trimucro-toxin, %","Waprin, %","Navaprin, %","Ohanin, %","Oscutarin C, %","Cystatin, %","Crotamine, %","Vespryn, %","HYA (HYAluronidase), %","KTC (proKineTiCin), %","NGF (Nerve Growth Factor), %","ILGF-1 (insulin-like growth factor), %","PDE (PhosphoDiEsterases), %","ACHE (AcetylCHolineEsterase), %","NT5 (5NucleoTidase), %","EP (EndoPeptidase), %","EN (EndoNuclease), %","Trypsinogen, %","QC (Glutaminyl Cyclase), %","CCM (Complement Control Module), %","LIPA (Lysosomal Lipase A), %","TRF (TRansFerrin), %","CTT (Cytidyltransferase), %","ALB (ALBumins), %","HBG (HemoGloBins), %","pG peptides (polyGly peptides), %","pGpH peptides (Gly-His-rich peptide), %","beta-BTx (beta-bungarotoxin), %","Gal (galactose-binding lectin), %","Selectins, %","FMO (flavin monoamine oxidases), %","GP (glutathione peroxidase), %","CELF (Type-B carboxylesterases/lipases), %","Atragin, %","AMT (AminoTransferase), %","Aspartic protease, %","TBP (Toxin biosynthesis proteins), %","BP (Blood Proteins), %","KNL (Kinesin-like protein), %","NTP (Neurotrophin), %","Fibrinogenases, %","AP (AminoPeptidase), %","ChE (Cholinesterase), %","OLP (Ohanin like proteins), %","CRVP (Cysteine Rich Venom Proteine), %","NMG (Neuronal membrane glycoprotein), %","RIB (ribosomal protein), %","ECTONT (ecto-59-nucleotidase), %","Actin, %","Unknown peptides, %","Non-toxin, %","Unknown/Undetermined, %","Sum, %"
Bothriechis marchi,https://www.ncbi.nlm.nih.gov/pubmed/27777178,Honduras,0.00,1.10,0.00,34.00,8.50,1.70,0.00,0.00,0.00,0.00,0.00,4.20,4.80,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.30,0.00,0.00,0.00,0.00,0.00,10.10,0.00,0.00,0.00,0.00,1.10,0.00,10.60,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,100
Bothriechis nigroviridis,https://www.ncbi.nlm.nih.gov/pubmed/20590130,Costa Rica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.30,0.00,0.00,0.00,0.00,0.00,18.40,0.00,0.00,0.00,0.00,0.50,0.00,26.90,10.10,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,100.00
Bothriechis schlegelii,https://www.ncbi.nlm.nih.gov/pubmed/18444672,Costa Rica,17.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.80,0.00,0.00,0.00,0.00,0.00,5.80,0.00,0.00,8.30,0.00,8.90,0.00,13.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothriechis schlegelii,https://www.ncbi.nlm.nih.gov/pubmed/27777178,Costa Rica,0.00,0.00,0.00,8.10,6.90,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.30,0.00,0.00,0.00,0.00,0.00,0.00,0.80,17.30,0.00,0.00,0.00,0.00,0.00,20.60,0.00,6.30,0.00,0.00,3.40,0.00,15.90,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.8,100.00
Bothriechis supraciliaris,https://www.ncbi.nlm.nih.gov/pubmed/22333435,Costa Rica,6.80,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40,0.00,0.00,0.00,0.00,0.00,15.20,0.00,0.00,9.00,0.00,5.90,0.00,21.90,0.00,1.40,0.00,13.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,100.00
Bothriechis thalassinus,https://www.ncbi.nlm.nih.gov/pubmed/27777178,Guatemala,0.00,13.30,1.50,24.80,9.90,1.20,0.00,0.00,0.00,0.00,0.00,11.50,0.80,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,12.10,0.00,0.00,0.00,0.00,4.30,0.00,10.60,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.30,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,100
Bothrocophias campbelli,https://www.ncbi.nlm.nih.gov/pubmed/25091349,Ecuador,15.80,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,6.40,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.10,0.00,0.00,0.00,0.00,0.00,21.30,0.00,0.00,0.00,0.00,5.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,0.00,1.40,100.00
Bothrops pauloensis,https://www.ncbi.nlm.nih.gov/pubmed/22480909,Brazil,0.00,12.15,0.00,25.80,0.00,1.29,0.00,0.00,0.00,0.00,0.00,0.60,0.00,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.33,15.84,0.00,10.46,0.00,0.00,0.00,0.00,2.79,0.00,6.18,0.00,0.00,0.00,6.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.01
Bothrops alternatus,https://www.ncbi.nlm.nih.gov/pubmed/20329766,Brazil,43.10,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.80,0.00,0.00,0.00,0.00,0.00,24.10,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.80,0.00,0.00,100.00
Bothrops alternatus,https://www.ncbi.nlm.nih.gov/pubmed/24069493,Brazil,0.00,3.60,7.59,40.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.79,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,2.40,2.00,0.00,0.00,0.00,0.00,0.00,5.79,0.00,0.00,0.00,0.00,14.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.40,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.00,0.00,0.00,0.00,100
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/18557640,Caribbean neonate,0.00,2.87,0.00,60.40,0.00,0.00,0.00,1.58,0.00,0.00,0.00,0.10,0.00,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08,21.39,0.00,6.63,0.00,0.00,0.00,0.00,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.01
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/18557640,Caribbean adult,0.00,32.20,0.00,8.80,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.50,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.80,10.00,0.00,18.20,0.00,0.00,0.00,0.00,9.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/18557640,Pacific adult,0.00,30.50,0.00,13.30,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.50,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,9.10,0.00,4.40,0.00,0.00,0.00,0.00,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/18557640,Pacific neonate,0.00,7.10,0.00,58.20,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,23.50,0.00,2.60,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,100.00
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/19539636,Costa Rica (Pacific),0.00,29.94,0.70,13.27,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.50,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.93,9.08,0.00,4.39,0.00,0.00,0.00,0.00,4.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/19539636,Costa Rica (Carribean),0.00,32.20,0.00,8.80,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.50,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.80,10.00,0.00,18.20,0.00,0.00,0.00,0.00,9.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/19665598,Columbia,0.00,45.35,0.00,3.10,0.00,3.20,0.00,1.70,0.00,0.00,0.00,7.09,0.10,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.48,2.50,0.00,10.89,0.00,0.00,0.00,0.00,4.70,0.00,0.15,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.01
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/19665598,Brazil,0.00,23.00,0.00,49.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.70,0.90,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,11.80,0.00,4.60,0.00,0.00,0.00,0.00,2.10,0.00,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/22300577,Brazil,0.00,23.20,0.00,35.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,3.60,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,11.10,0.00,0.00,0.00,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,8.20,0.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,14.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,16.30,0.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,21.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,18.00,0.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,21.00,0.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42E-14,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,17.96,0.00,66.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.08,0.00,0.00,0.00,0.00,0.00,3.49,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,10.50,0.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.80,0.00,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42E-14,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,16.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,4.30,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
