Snake,Reference,Note,"SVMP (Snake Venom Metalloproteinase), mg","PI-SVMP (Snake Venom Metalloproteinase-PI), mg","PII-SVMP (Snake Venom Metalloproteinase PII), mg","PIII-SVMP (Snake Venom Metalloproteinase PIII), mg","SVMPi (Snake Venom Metalloproteinase inhibitor), mg","Disintegrin, mg","Short disintegrin, mg","Medium disintegrin, mg","Large disintegrin, mg","Long disintegrin, mg","Dimeric disintegrin, mg","CTL (C-type Lectin), mg","DC-fragment (Disintegrin-like/Cysteine-Ichdomains of PIII-SVMP), mg","CRISP (Cysteine-Rich Secretory Protein), mg","3Ftx (Three-Finger Toxin), mg","alpha-NTx (alpha-NeuroToxin), mg","NTx (NeuroToxin), mg","SNTx (Short chain Neurotoxin), mg","LNTx (Long chain Neurotoxin), mg","WNTx (Weak Neurotoxin), mg","PLB (Phospholipase B), mg","PLA2 (Phospholipase A2), mg","Acidic PLA2 (Phospholipase A2), mg","Basic PLA2 (Phospholipase A2), mg","K49-PLA2 (Phospholipase A2), mg","D49-PLA2 (Phospholipase A2), mg","Crotoxin, mg","SP (Serine-Proteinase), mg","SPi (Serine-Proteinase inhibitor), mg","KuTi (Kunitz-type Inhibitor), mg","KaTi (Kazal-type Inhibitor), mg","KLK (Kallikrein), mg","LAAO (L-Amino Acid Oxidase), mg","VAP (Vasoactive Peptides), mg","BPP (Bradykinin-Potentiating Peptides), mg","BIP (Bradykinin-Inhibitory Peptides), mg","VEGF (Vascular Endothelial Growth Factor), mg","CVF (Cobra Venom Factor), mg","NP (Natriuretic Peptide), mg","Muscarinic-toxin, mg","Cytotoxin, mg","Myotoxin, mg","Mojave toxin, mg","Sarafotoxin, mg","Trimucrotoxin, mg","Waprin, mg","Navaprin, mg","Ohanin, mg","Oscutarin C, mg","Cystatin, mg","Crotamine, mg","Vespryn, mg","HYA (Hyaluronidase), mg","KTC (prokineticin), mg","NGF (Nerve Growth Factor), mg","ILGF-1 (Insulin-like Growth Factor), mg","PDE (Phosphodiesterases), mg","ACHE (Acetylcholineesterase), mg","NT5 (5NucleoTidase), mg","EP (Endopeptidase), mg","EN (Endonuclease), mg","Trypsinogen, mg","QC (Glutaminyl Cyclase), mg","CCM (Complement Control Module), mg","LIPA (Lysosomal Lipase A), mg","TRF (Transferrin), mg","CTT (Cytidyltransferase), mg","ALB (Albumin), mg","HBG (Hemoglobin), mg","pG peptides (Poly-Gly Peptides), mg","pGpH peptides (Gly-His-rich Peptides), mg","beta-BTx (beta-bungarotoxin), mg","Gal (galactose-binding lectin), mg","Selectins, mg","FMO (flavin monoamine oxidases), mg","GP (glutathione peroxidase), mg","CELF (Type-B carboxylesterases/lipases), mg","Atragin, mg","AMT (AminoTransferase), mg","Aspartic protease, mg","TBP (Toxin biosynthesis proteins), mg","BP (Blood Proteins), mg","KNL (Kinesin-like protein), mg","NTP (Neurotrophin), mg","Fibrinogenases, mg","AP (AminoPeptidase), mg","ChE (Cholinesterase), mg","OLP (Ohanin like proteins), mg","CRVP (Cysteine Rich Venom Proteine), mg","NMG (Neuronal membrane glycoprotein), mg","RIB (ribosomal protein), mg","ECTONT (ecto-59-nucleotidase), mg","Actin, mg","Unknown peptides, mg","Non-toxin, mg","Unknown/Undetermined, mg","Sum, mg"
Crotalus atrox,https://www.ncbi.nlm.nih.gov/pubmed/19371136,Origin unknown,0.00,253.16,0.00,308.58,0.00,0.00,0.00,70.07,0.00,0.00,0.00,19.24,0.00,48.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.55,0.00,0.00,0.00,0.00,0.00,223.85,0.00,0.00,0.00,0.00,90.46,0.00,10.19,12.48,12.48,0.00,11.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.00,0.00,"1,145.23"
Crotalus basiliscus,https://www.ncbi.nlm.nih.gov/pubmed/28238904,Mexico,201.96,0.00,0.00,0.00,11.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.58,0.00,0.00,0.00,0.00,0.00,32.67,0.00,0.00,0.00,0.00,0.00,0.00,5.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.97,297.00
Crotalus durissus cascavella,https://www.ncbi.nlm.nih.gov/pubmed/20542151,Brazil,0.00,0.00,0.00,0.10,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.10,0.00,0.00,0.00,0.00,72.50,1.20,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.70,100.00
Crotalus durissus collilineatus,https://www.ncbi.nlm.nih.gov/pubmed/20542151,Brazil,0.00,0.00,0.00,2.30,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.30,0.00,0.00,0.00,0.00,79.60,0.50,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.00
Crotalus durissus collilineatus,https://www.ncbi.nlm.nih.gov/pubmed/20542151,Brazil,0.00,0.00,0.00,0.40,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,0.00,0.00,0.00,0.00,67.40,1.90,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.10
Crotalus durissus collilineatus,https://www.ncbi.nlm.nih.gov/pubmed/20542151,Brazil,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,100.00
Crotalus durissus cumanensis,https://www.ncbi.nlm.nih.gov/pubmed/19863078,Venezuela,0.00,6.80,0.00,58.00,0.00,7.90,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,2.60,1.90,0.00,0.00,0.00,0.00,2.70,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Crotalus durissus durissus,https://www.ncbi.nlm.nih.gov/pubmed/19863078,Guyana,0.00,0.00,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,68.00,5.10,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.20
Crotalus durissus ruruima,https://www.ncbi.nlm.nih.gov/pubmed/19863078,Brazil,0.00,0.00,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.70,8.10,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.10
Crotalus durissus terrificus,https://www.ncbi.nlm.nih.gov/pubmed/19863078,Brazil,0.00,0.00,0.00,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.50,8.20,0.00,0.00,0.00,0.00,4.50,0.00,0.50,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
