Snake,Reference,Note,"SVMP (Snake Venom Metalloproteinase), mg","PI-SVMP (Snake Venom Metalloproteinase-PI), mg","PII-SVMP (Snake Venom Metalloproteinase PII), mg","PIII-SVMP (Snake Venom Metalloproteinase PIII), mg","SVMPi (Snake Venom Metalloproteinase inhibitor), mg","Disintegrin, mg","Short disintegrin, mg","Medium disintegrin, mg","Large disintegrin, mg","Long disintegrin, mg","Dimeric disintegrin, mg","CTL (C-type Lectin), mg","DC-fragment (Disintegrin-like/Cysteine-Ichdomains of PIII-SVMP), mg","CRISP (Cysteine-Rich Secretory Protein), mg","3Ftx (Three-Finger Toxin), mg","alpha-NTx (alpha-NeuroToxin), mg","NTx (NeuroToxin), mg","SNTx (Short chain Neurotoxin), mg","LNTx (Long chain Neurotoxin), mg","WNTx (Weak Neurotoxin), mg","PLB (Phospholipase B), mg","PLA2 (Phospholipase A2), mg","Acidic PLA2 (Phospholipase A2), mg","Basic PLA2 (Phospholipase A2), mg","K49-PLA2 (Phospholipase A2), mg","D49-PLA2 (Phospholipase A2), mg","Crotoxin, mg","SP (Serine-Proteinase), mg","SPi (Serine-Proteinase inhibitor), mg","KuTi (Kunitz-type Inhibitor), mg","KaTi (Kazal-type Inhibitor), mg","KLK (Kallikrein), mg","LAAO (L-Amino Acid Oxidase), mg","VAP (Vasoactive Peptides), mg","BPP (Bradykinin-Potentiating Peptides), mg","BIP (Bradykinin-Inhibitory Peptides), mg","VEGF (Vascular Endothelial Growth Factor), mg","CVF (Cobra Venom Factor), mg","NP (Natriuretic Peptide), mg","Muscarinic-toxin, mg","Cytotoxin, mg","Myotoxin, mg","Mojave toxin, mg","Sarafotoxin, mg","Trimucrotoxin, mg","Waprin, mg","Navaprin, mg","Ohanin, mg","Oscutarin C, mg","Cystatin, mg","Crotamine, mg","Vespryn, mg","HYA (Hyaluronidase), mg","KTC (prokineticin), mg","NGF (Nerve Growth Factor), mg","ILGF-1 (Insulin-like Growth Factor), mg","PDE (Phosphodiesterases), mg","ACHE (Acetylcholineesterase), mg","NT5 (5NucleoTidase), mg","EP (Endopeptidase), mg","EN (Endonuclease), mg","Trypsinogen, mg","QC (Glutaminyl Cyclase), mg","CCM (Complement Control Module), mg","LIPA (Lysosomal Lipase A), mg","TRF (Transferrin), mg","CTT (Cytidyltransferase), mg","ALB (Albumin), mg","HBG (Hemoglobin), mg","pG peptides (Poly-Gly Peptides), mg","pGpH peptides (Gly-His-rich Peptides), mg","beta-BTx (beta-bungarotoxin), mg","Gal (galactose-binding lectin), mg","Selectins, mg","FMO (flavin monoamine oxidases), mg","GP (glutathione peroxidase), mg","CELF (Type-B carboxylesterases/lipases), mg","Atragin, mg","AMT (AminoTransferase), mg","Aspartic protease, mg","TBP (Toxin biosynthesis proteins), mg","BP (Blood Proteins), mg","KNL (Kinesin-like protein), mg","NTP (Neurotrophin), mg","Fibrinogenases, mg","AP (AminoPeptidase), mg","ChE (Cholinesterase), mg","OLP (Ohanin like proteins), mg","CRVP (Cysteine Rich Venom Proteine), mg","NMG (Neuronal membrane glycoprotein), mg","RIB (ribosomal protein), mg","ECTONT (ecto-59-nucleotidase), mg","Actin, mg","Unknown peptides, mg","Non-toxin, mg","Unknown/Undetermined, mg","Sum, mg"
Crotalus durissus terrificus,https://www.ncbi.nlm.nih.gov/pubmed/20205475,Origin unknown,3.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.50,0.00,0.00,0.00,0.00,0.00,25.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,1.90,0.00,7.80,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.70,0.00,0.00,100.00
Crotalus horridus*,https://www.ncbi.nlm.nih.gov/pubmed/23758969,Florida,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.21,0.00,0.00,0.00,0.00,0.00,133.28,0.00,0.00,0.00,0.00,2.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.97,229.00
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (A-101),0.00,12.15,0.00,74.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.65,0.00,36.90,0.00,0.00,0.00,0.00,1.65,7.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,150.60
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (F-303),0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.75,0.00,54.30,0.00,0.00,0.00,0.00,0.15,5.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,0.00,0.00,150.30
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (F-307),0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.35,0.00,62.40,0.00,0.00,0.00,0.00,0.15,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,150.30
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-105),0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.35,0.00,56.40,0.00,0.00,0.00,0.00,0.15,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.40,26.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.95,0.00,0.00,150.30
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-104),0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.20,0.00,43.35,0.00,0.00,0.00,0.00,1.95,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.15,25.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,150.30
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-106),0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.45,0.00,42.15,0.00,0.00,0.00,0.00,1.80,7.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.60,41.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,150.15
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-203),0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,0.00,48.15,0.00,0.00,0.00,0.00,1.20,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.80,53.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,150.15
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,New Mexico (F-301),0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.35,0.00,44.70,0.00,0.00,0.00,0.00,1.65,6.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.00,150.15
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (A-103),0.00,13.50,0.00,75.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.15,0.00,32.85,0.00,0.00,0.00,0.00,1.95,7.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,150.15
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-202),0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.20,0.00,46.35,0.00,0.00,0.00,0.00,2.10,2.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,59.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,0.00,0.00,150.15
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-204),0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.20,0.00,45.15,0.00,0.00,0.00,0.00,1.05,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.85,41.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.95,0.00,0.00,150.00
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (A-108),0.00,14.40,0.00,67.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.80,0.00,35.70,0.00,0.00,0.00,0.00,1.80,7.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,150.00
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (B-110),0.00,10.65,0.00,61.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.45,0.00,33.30,0.00,0.00,0.00,0.00,3.15,8.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,150.00
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (C-107),0.00,11.70,0.00,67.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.40,0.00,28.35,0.00,0.00,0.00,0.00,2.25,7.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,150.00
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (D-201),0.00,0.00,0.00,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.40,0.00,28.95,0.00,0.00,0.00,0.00,2.25,5.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.15,51.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.15,0.00,0.00,150.00
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,New Mexico (F-302),0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.40,0.00,60.30,0.00,0.00,0.00,0.00,1.05,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,0.00,0.00,150.00
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,New Mexico (F-304),0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.05,0.00,50.25,0.00,0.00,0.00,0.00,0.15,5.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.00,150.00
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (F-306),0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,0.00,62.25,0.00,0.00,0.00,0.00,0.15,5.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,0.00,0.00,150.00
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (D-109),0.00,5.25,0.00,23.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.75,0.00,14.40,0.00,0.00,0.00,0.00,1.80,6.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.30,31.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.00,0.30,150.00
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,New Mexico (F-305),0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.10,0.00,61.65,0.00,0.00,0.00,0.00,0.15,5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,0.00,1.20,150.00
Crotalus scutulatus scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (A-102),0.00,11.55,0.00,70.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.70,0.00,35.85,0.00,0.00,0.00,0.00,1.65,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,1.50,150.00
Crotalus simus,https://www.ncbi.nlm.nih.gov/pubmed/19863078,Costa Rican adult,0.00,0.00,0.00,3.60,0.00,3.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.76,0.00,0.00,0.00,0.00,94.86,64.80,0.00,0.00,0.00,0.00,0.00,0.00,2.34,4.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00
Crotalus simus,https://www.ncbi.nlm.nih.gov/pubmed/19863078,Costa Rican neonate (6-week-old),0.00,40.50,0.00,88.56,0.00,14.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.30,0.00,0.00,0.00,0.00,7.38,9.54,0.00,0.00,0.00,0.00,6.84,0.00,3.60,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00
Crotalus tigris,https://www.ncbi.nlm.nih.gov/pubmed/22181673,Origin unknown,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,7.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.02
Crotalus viridis viridis,https://www.ncbi.nlm.nih.gov/pubmed/25819372,Colorado (neonate female),0.00,8.54,25.86,47.39,31.90,2.73,0.00,0.00,0.00,0.00,0.00,7.06,0.00,18.14,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,61.11,0.00,77.53,0.00,0.00,0.00,0.00,44.69,0.00,42.04,0.00,0.00,0.00,0.00,0.00,0.00,21.41,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390.08
Crotalus viridis viridis,https://www.ncbi.nlm.nih.gov/pubmed/25819372,Colorado (adult female),0.00,11.08,14.31,18.80,0.39,0.55,0.00,0.00,0.00,0.00,0.00,12.95,0.00,8.27,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,1.52,0.00,0.00,39.51,0.00,104.21,0.00,0.00,0.00,0.00,11.08,0.00,25.19,0.00,0.00,0.00,0.00,0.00,0.00,138.26,0.00,0.00,0.00,0.00,0.00,2.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390.00
