Snakenames,Note,Snake,Number,Common names,Family,Country,Region,Snake genus,"Venom, mg (snakedatabase.org)",SVMP (Snake venom MetalloProteinase),PI-SVMP (Snake venom MetalloProteinase),PII-SVMP,PIII-SVMP (Snake venom MetalloProteinase),SVMPi (Snake venom metalloproteinase inhibitor),Disintegrin,Short disintegrin,Mediumdisintegrin,Largedisintegrin,Long disintegrin,Dimeric disintegrin,CTL (C-typelectin),DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP),CRISP (cysteine-rich secretory protein),3Ftx (three-finger toxin),?-NTx (?-NeuroToxin),NTx (NeuroToxin),SNTx (Short chain NeuroToxin),LNTx (Long chain NeuroToxin),WNTx (Weak Neurotoxin),PLB (Phospholipase B),PLA2 (Phospholipases A2),Acidic PLA2 (Phospholipases A2),Basic PLA2 (Phospholipases A2),K49-PLA2,D49-PLA2,Cro-toxin,SP (Serine roteinase),SPi (Serine Proteinase inhibitor),KuTi (Kunitz-type nhibitor),KaTi (Kazal-type inhibitor),KLK (Kallikrein),LAAO (L-Amino Acid oxidase),VAP (VasoActive Peptides),BPP (Bradykinin-Potentiating Peptides),BIP (Bradykinin-Inhibitory Peptide),VEGF (Vascular Endothelial Growth Factor),CVF (Cobra Venom Factor),NP (Natriuretic Peptide),Muscarinic-toxin,Cyto-toxin,Myo-toxin,Mojave-toxin,Sarafo-toxin,Trimucro-toxin,Waprin,Navaprin,Ohanin,Oscutarin C,Cystatin,Crotamine (aka: ?-defensin/small basic myotoxic peptides),Vespryn,HYA (HYAluronidase),KTC (proKineTiCin),NGF (Nerve Growth Factor),ILGF-1 (insulin-like growth factor),PDE (PhosphoDiEsterases),ACHE (AcetylCHolineEsterase),NT5 (5NucleoTidase),EP (EndoPeptidase),EN (EndoNuclease),Trypsinogen,QC (Glutaminyl Cyclase),CCM (Complement Control Module),LIPA (Lysosomal Lipase A),TRF (TRansFerrin),CTT (Cytidyltransferase),ALB (ALBumins),HBG (HemoGloBins),pG peptides (polyGly peptides),pGpH peptides (Gly-His-rich peptide),beta-BTx (beta-bungarotoxin),Gal (galactose-binding lectin),Selectins,FMO (flavin monoamine oxidases),GP (glutathione peroxidase),CELF (Type-B carboxylesterases/lipases),Atragin,AMT (AminoTransferase),Aspartic protease,TBP (Toxin biosynthesis proteins),BP (Blood Proteins),KNL (Kinesin-like protein),NTP (Neurotrophin),Fibrinogenases,AP (AminoPeptidase),ChE (Cholinesterase),OLP (Ohanin like proteins),CRVP (Cysteine Rich Venom Proteine),NMG (Neuronal membrane glycoprotein),RIB (ribosomal protein),ECTONT (ecto-59-nucleotidase),Actin,Unknownpeptides,Non-toxin,Unknown/Undetermined,Sum
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/21278006"" style=""font-style: italic"">Bothrops atrox<span> (Brazil)",Brazil,Bothrops atrox,12,"Common Lancehead , Barba Amarilla , Mapanare , Caissaca , Fer-de-lance",Viperidae,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela",South America,Bothrops,200.00,0.00,6.50,4.60,40.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,0.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.70,0.00,0.00,0.00,0.00,0.00,10.30,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.80,0.00,2.70,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/21278006"" style=""font-style: italic"">Bothrops atrox<span> (Brazil)",Brazil,Bothrops atrox,13,"Common Lancehead , Barba Amarilla , Mapanare , Caissaca , Fer-de-lance",Viperidae,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela",South America,Bothrops,200.00,0.00,5.89,5.19,42.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.78,0.00,3.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.39,0.00,0.00,0.00,0.00,0.00,9.68,0.00,0.00,0.00,0.00,8.68,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.80,0.00,2.20,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/24069493"" style=""font-style: italic"">Bothrops atrox<span> (Brazil)",Brazil,Bothrops atrox,14,"Common Lancehead , Barba Amarilla , Mapanare , Caissaca , Fer-de-lance",Viperidae,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela",South America,Bothrops,200.00,0.00,5.79,6.49,42.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.19,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,1.50,3.30,0.00,0.00,0.00,0.00,0.00,8.09,0.00,0.00,0.00,0.00,14.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,100
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/21278006"" style=""font-style: italic"">Bothrops atrox<span> (Columbia)",Colombia,Bothrops atrox,16,"Common Lancehead , Barba Amarilla , Mapanare , Caissaca , Fer-de-lance",Viperidae,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela",South America,Bothrops,200.00,0.00,21.00,0.00,4.80,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42E-14,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/19665598"" style=""font-style: italic"">Bothrops atrox<span> (Columbia)",Columbia,Bothrops atrox,17,"Common Lancehead , Barba Amarilla , Mapanare , Caissaca , Fer-de-lance",Viperidae,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela",South America,Bothrops,200.00,0.00,45.35,0.00,3.10,0.00,3.20,0.00,1.70,0.00,0.00,0.00,7.09,0.10,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.48,2.50,0.00,10.89,0.00,0.00,0.00,0.00,4.70,0.00,0.15,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.01
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/22300577"" style=""font-style: italic"">Bothrops atrox <span>(Peru)",Peru,Bothrops atrox,18,"Common Lancehead , Barba Amarilla , Mapanare , Caissaca , Fer-de-lance",Viperidae,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela",South America,Bothrops,200.00,0.00,23.20,0.00,35.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,3.60,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,11.10,0.00,0.00,0.00,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/28274896"" style=""font-style: italic"">Bothrops atrox <span>(Venezuela)",Venezuela,Bothrops atrox,19,"Common Lancehead , Barba Amarilla , Mapanare , Caissaca , Fer-de-lance",Viperidae,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela",South America,Bothrops,200.00,0.00,18.00,0.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/28274896"" style=""font-style: italic"">Bothrops atrox<span> (Venezuela)",Venezuela,Bothrops atrox,20,"Common Lancehead , Barba Amarilla , Mapanare , Caissaca , Fer-de-lance",Viperidae,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela",South America,Bothrops,200.00,0.00,31.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.70,0.00,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/28274896"" style=""font-style: italic"">Bothrops atrox<span> (Venezuelan adult)",Venezuelan adult,Bothrops atrox,21,"Common Lancehead , Barba Amarilla , Mapanare , Caissaca , Fer-de-lance",Viperidae,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela",South America,Bothrops,200.00,0.00,65.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/28274896"" style=""font-style: italic"">Bothrops atrox<span> (Venezuelan juvenile)",Venezuelan juvenile,Bothrops atrox,22,"Common Lancehead , Barba Amarilla , Mapanare , Caissaca , Fer-de-lance",Viperidae,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela",South America,Bothrops,200.00,0.00,21.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,0.00,9.50,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/21278006"" style=""font-style: italic"">Bothrops atrox<span> (Brazil)",Brazil,Bothrops atrox|,15,"Common Lancehead , Barba Amarilla , Mapanare , Caissaca , Fer-de-lance",Viperidae,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela",South America,Bothrops,200.00,0.00,21.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/24231109"" style=""font-style: italic"">Bothrops ayerbei <span>(Colombia)",Colombia,Bothrops ayerbei,1,"Patian Lancehead, Ayerbe's Lancehead",Viperidae,Colombia,South America,Bothrops,0.00,53.70,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,10.10,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,9.30,0.00,0.00,0.00,0.00,3.30,0.00,8.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,1.70,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/22300577"" style=""font-style: italic"">Bothrops barnetti<span> (Peru)",Peru,Bothrops barnetti,1,"Barnett's Lancehead , Barnett's Pit Viper",Viperidae,Peru,South America,Bothrops,0.00,0.00,22.90,0.00,51.20,0.00,5.50,0.00,0.00,0.00,0.00,0.00,3.30,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,0.00,0.00,0.00,0.00,0.00,6.70,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/18785768"" style=""font-style: italic"">Bothrops caribbaeus<span> (Caribbean)",Carribean,Bothrops caribbaeus,1,"Saint Lucia Lancehead , Carribean Pit Viper , Saint Lucia Serpent , Saint Lucia Viper",Viperidae,Saint Lucia,Central America,Bothrops,0.00,0.00,30.60,0.00,38.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.20,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.80,0.00,0.00,0.00,0.00,0.00,4.70,0.00,0.00,0.00,0.00,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/19457355"" style=""font-style: italic"">Bothrops colombiensis<span> (Venezuela)",Venezuela,Bothrops colombiensis,1,,Viperidae,,,Bothrops,0.00,0.00,30.77,0.00,11.29,0.00,0.00,0.00,5.59,0.00,0.00,0.00,0.00,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.07,10.19,0.00,1.00,0.00,0.00,0.00,0.00,5.69,0.00,0.40,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/18760386""  style=""font-style: italic"">Bothrops cotiara<span> (Brazil)",Brazil,Bothrops cotiara,1,"Cotiara , Jararaca Preta , Boicotiara",Viperidae,"Argentina, Brazil",South America,Bothrops,0.00,0.00,3.10,0.00,70.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.10,0.50,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.40,0.00,0.00,0.00,0.00,3.80,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/24069493"" style=""font-style: italic"">Bothrops cotiara <span>(Brazil)",Brazil,Bothrops cotiara,2,"Cotiara , Jararaca Preta , Boicotiara",Viperidae,"Argentina, Brazil",South America,Bothrops,0.00,0.00,4.30,10.00,36.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.60,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,19.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.70,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.30,0.00,0.00,0.00,100
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/26712790"" style=""font-style: italic"">Bothrops diporus <span>(Argentina)",Argentina,Bothrops diporus,1,Chaco Lancehead,Viperidae,"Argentina, Brazil, Paraguay",South America,Bothrops,0.00,0.00,14.70,0.00,19.50,2.60,0.00,0.00,0.00,0.00,0.00,0.00,2.90,1.40,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.30,24.10,0.00,0.00,0.00,0.00,0.00,7.20,0.00,0.00,0.00,0.00,7.40,15.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,1.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/25462430"" style=""font-style: italic"">Bothrops erythromelas <span>(Ceara)",Juazeiro,Bothrops erythromelas,1,Caatinga Lancehead,Viperidae,Brazil,South America,Bothrops,0.00,0.00,8.99,0.00,29.77,0.00,5.29,0.00,0.00,0.00,0.00,0.00,17.18,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,15.08,0.00,7.19,0.00,0.00,0.00,0.00,0.00,0.00,11.39,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.99
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/25462430"" style=""font-style: italic"">Bothrops erythromelas<span> (Ilha de Itaparica)",Ceara,Bothrops erythromelas,2,Caatinga Lancehead,Viperidae,Brazil,South America,Bothrops,0.00,0.00,6.99,0.00,35.96,0.00,3.60,0.00,0.00,0.00,0.00,0.00,21.58,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,13.79,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,10.99,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.01
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/25462430"" style=""font-style: italic"">Bothrops erythromelas<span> (Juazeiro)",Paraiba,Bothrops erythromelas,3,Caatinga Lancehead,Viperidae,Brazil,South America,Bothrops,0.00,0.00,14.40,0.00,35.40,0.00,8.90,0.00,0.00,0.00,0.00,0.00,8.70,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.10,0.00,5.80,0.00,0.00,0.00,0.00,0.00,0.00,14.50,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/25462430"" style=""font-style: italic"">Bothrops erythromelas)<span> (Paraiba",Pernambuco,Bothrops erythromelas,4,Caatinga Lancehead,Viperidae,Brazil,South America,Bothrops,0.00,0.00,7.20,0.00,38.00,0.00,3.40,0.00,0.00,0.00,0.00,0.00,18.00,1.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,9.30,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,100.00
